ID,Project Title,Donor(s),Categories,Status,Start date,End date,Countries,Region,Beneficiaries,Implementing Agency,Total Project Cost,Primary funding (EUR),Co-funding (EUR),Ecosystem,Web Link,Further Information
108,LIFE TO GRASSLANDS - LIFE CONSERVATION AND MANAGEMENT OF DRY GRASSLANDS IN EASTERN SLOVENIA,LIFE,National,Ongoing,2015,2020,Slovenia,Unknown, Zavod Republike Slovenije za varstvo narave / Institute of the Republic of Slovenia for Nature Conservation,"Drutvo GK(Drutvo Gorjanske koenice / Society Gorjanske koenice), Slovenia; KGZ Ptuj(Kmetijsko gozdarska zbornica Slovenije Kmetijsko gozdarski zavod Ptuj / Agriculture and Forestry Institute Ptuj), Slovenia","3,898,579","2,923,933","974,646",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5342,http://www.lifetograsslands.si/
109,LIFE Danube floodplains - Restoration and management of Danube floodplain habitats,LIFE,Multinational,Ongoing,2015,2022,Hungary; Slovakia,Unknown, Bratislavsk regionlne ochranrske zdruenie - BROZRegional Association for Nature Conservation and Sustainable Development, Bratislavsk regionlne ochranrske zdruenie - BROZRegional Association for Nature Conservation and Sustainable Development,"5,999,420","3,599,651","2,399,769",Grassland; Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5341,http://www.broz.sk/DunajskeLuhy
110,Bure LIFE - Bringing the Bure back to LIFE: Hoveton Wetland Restoration Project,LIFE; Heritage Lottery Fund,National,Ongoing,2015,2020,United Kingdom,Unknown,Natural England,Natural England; Environment Agency,"5,004,346","3,002,608","2,001,738",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5347,https://hovetongreatbroad.org.uk/
111,LIFE14 Roseate Tern - Improving the conservation prospects of the priority species roseate tern throughout its range in the UK and Ireland,LIFE,Multinational,Ongoing,2015,2020,United Kingdom; Ireland,Unknown, The Royal Society for the Protection of Birds,RSPB; BWI (bird watch ireland); NWWT (North Wales Wildlife Trust),"3,229,020","2,421,765","807,255",Marine Coastal/Supratidal,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5346,http://roseatetern.org/index.html
112,LIFE elm - Restoration of Iberian elms (Ulmus minor and U. laevis) in the Tagus River basin,LIFE,National,Ongoing,2014,2019,Spain,Unknown, Universidad Politécnica de Madrid, Universidad Politécnica de Madrid,"1,348,799","660,535","688,264",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5015,http://www.olmosvivos.es/
113,LIFE RINASCE - Naturalistic Restoration for the integrated hydraulic-environmental Sustainability of the Emilian Canals,LIFE,National,Completed,2014,2018,Italy,Unknown, Consorzio di bonifica dell'Emilia Centrale," RER(Regione Emilia-Romagna), Italy;  Consorzio di bonifica dell'Emilia Centrale","2,076,390","941,390","1,135,000",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4872,https://progeu.regione.emilia-romagna.it/it/life-rinasce
114,LIFE+ Wilderness Wetland Wachau,LIFE; NO Landesfischereiverband; Office of the Lower Austrian government; BMLFUW,National,Ongoing,2015,2020,Austria,Unknown, via donau Österreichische Wasserstraßen-Gesellschaft mbH, via donau Österreichische Wasserstraßen-Gesellschaft mbH,"3,876,937","1,938,468","1,938,469?",Wetlands (inland); Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4917,http://www.viadonau.org/unternehmen/projektdatenbank/aktiv/auenwildnis/life-auenwildnis-wachau/?backurl=32
115,"HELVEX-LIFE - Cross-Border heath restoration, inland dunes and pools, integrated invasive plant management.",LIFE;  Dutch province of Noord-Braban,Multinational,Ongoing,2014,2020,Netherlands; Belgium,Unknown, BENEGO/ Grenspark De Zoom - Kalmthoutse Heide,"ANB(Agentschap voor Natuur en Bos), Belgium; Natuurpunt(Natuurpunt Beheer vzw), Belgium","3,227,731","1,613,865","1,613,866",Wetlands (inland); Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4874,http://www.grenspark.be/life-project-helvex-2014-2019
116,LIFE Pays mosan - Connectivity of the Natura 2000 network across the Belgian-Dutch borders in the Meuse basin,LIFE,Multinational,Ongoing,2014,2021,Netherlands; Belgium,Unknown, Réserves Naturelles RNOB asbl, Réserves Naturelles RNOB asbl,"15,632,867","11,724,650","3,908,217","Wetlands (inland); Rocky Areas (e.g. inland cliffs, mountain peaks)",http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5041,https://www.lifepaysmosan.eu/
117,LIFE Riparian Forests - Restoration and conservation of riparian forests of habitat type *91?0 in Natura 2000 sites and model areas in Bulgaria,LIFE; WWF,National,Completed,2014,2019,Bulgaria,Unknown,Executive Forestry Agency,"WWF BG(WWF Danube - Carpathian Programme Bulgaria), Bulgaria","537,056","402,792","134,264",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5083,http://www.wwf.bg/what_we_do/forests/riparian_forests/
118,LIFE Hochwald - Restoration and conservation of sloping and transition mires in low mountain range Hunsrück (area Hochwald),LIFE,National,Ongoing,2015,2020,Germany,Unknown,Stiftung Natur und Umwelt Rheinland-Pfalz, Stiftung Natur und Umwelt Rheinland-Pfalz,"2,054,593","1,027,296","1,027,297",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4905,https://snu.rlp.de/de/projekte/moore/
119,REWETDUNE-LIFE - Restoration of wetlands in dune habitats,LIFE,National,Ongoing,2014,2019,Denmark,Unknown, Danish Nature Agency," Danish Nature Agency; FK(Frederikshavn Kommune), Denmark","2,873,843","1,724,305","1,149,538",Marine Coastal/Supratidal,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4910,https://naturstyrelsen.dk/naturbeskyttelse/naturprojekter/life-hulsig-hede/
120,LIFE to alvars - Restoration of Estonian alvar grasslands,"LIFE; Environmental Investment Center, the University of Tartu; The Estonian University of Life Sciences; The Society for the Protection of Heritage",National,Ongoing,2014,2019,Estonia,Unknown, The Environmental Board,"Estonian Environmental Board; EULS(Estonian University of Life Sciences), Estonia; UT(University of Tartu), Estonia; ESCCA(Estonian Seminatural Community Conservation Association), Estonia","3,725,864","2,791,305","934,559",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4985,https://life.envir.ee/elualvaritel
121,"LIFE+ GARAJONAY VIVE - Ecological restoration Garajonay National Park and its surroundings, after the great fire of 2012",LIFE;  Garajonay National Park; General Directorate of Nature Protection of the Canary Islands Government; Cabildo de La Gomera; Vallehermoso City Council; Valle Gran Rey City Council ,National,Completed,2014,2018,Spain,Unknown,TRAGSA,"ULL(Universidad de La Laguna), Spain; TRAGSA","1,511,494","755,747","755,747",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5082,http://lifegarajonayvive.com/
122,"LIFE-TETRACLINIS-EUROPA - CONSERVATION OF HABITAT ""9570 * Tetraclinis articulata FOREST"" IN THE EUROPEAN CONTINENT",LIFE,National,Completed,2014,2018,Spain,Unknown, Dirección General de Medio Ambiente. Consejería de Presidencia.Comunidad Autónoma de la Región de Murcia,"Ministry of Agriculture and Water of the Regional government of Murcia, Spain; FSM(FUNDACION SIERRA MINERA), Spain; UMU(UNIVERSIDAD DE MURCIA), Spain; AYTO_CT(Ayuntamiento de Cartagena), Spain; ANSE(Asociación de Naturalistas del Sureste), Spain","1,544,168","1,065,109","479,059",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4866,http://lifetetraclinis.eu/
123,LIFE Miera - Biodiversity conservation in river Miera,LIFE,National,Completed,2014,2018,Spain,Unknown, Fundacin Naturaleza y Hombre, Fundacin Naturaleza y Hombre,"1,650,105","825,052","825,053","Wetlands (inland); Rocky Areas (e.g. inland cliffs, mountain peaks)",http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5116,http://fnyh.org/life-nature-conservacion-de-la-biodiversidad-en-el-rio-miera/
124,LIFE FEEDING SCAVENGERS - NATURAL FEEDING HABITAT RESTORATION FOR CINEREUS VULTURE AND OTHER AVIAN SCAVENGERS IN CENTRAL SPAIN,LIFE,National,Completed,2014,2018,Spain,Unknown,Fundación CBD para la conservación de la Biodiversidad y su Hábitat,Fundación CBD para la conservación de la Biodiversidad y su Hábitat,"759,811","455,886","303,925",1Unknown,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5118,http://www.lifefeedingscavengers.com/
125,LIFE - Light & Fire open the Doors for Biodiversity,LIFE,National,Ongoing,2014,2020,Finland,Unknown, Natural Heritage Services of Metsähallitus,"Natural Heritage Services of Metsähallitus;  POSELY(North Savo Centre for Economic Development, Transport and the Environment), Finland; HAMK(Hämeen ammatillisen korkeakoulutuksen kuntayhtymä), Finland; WWF(Maailman Luonnon Säätiö - World Wide Fund for Nature, Suomen rahasto), Finland; UPM(UPM-Kymmene Corporation), Finland; SMK(The Finnish Forest Centre), Finland","4,062,410","2,031,206","2,031,204?",Forest; Grassland; Marine Coastal/Supratidal,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4978,http://www.metsa.fi/hankkeet
126,Life + Nature Preservation of Margaritifera margaritifera and restoration of river continuity of the Upper Dronne River,LIFE,National,Ongoing,2014,2020,France,Unknown, Parc Naturel Régional Périgord-Limousin,Parc Naturel Régional Périgord-Limousin; UMR-EPOCEA,"5,855,204","2,927,602","2,927,602",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5016,https://www.life-haute-dronne.eu/
127,LIFE Old-Drava - Transboundary cooperation for revitalization of riverine habitat complex in Drava region within Natura 2000 sites,LIFE,Multinational,Completed,2014,2019,Hungary; Croatia,Unknown, Duna-Dráva Nemzeti Park Igazgatóság,"WWF Hu(WWF Hungary Foundation), Hungary ; Croatia HESSZ(Horgász Egyesületek Somogy megyei Szövetsége)","833,985","623,674","210,311?",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4860,http://www.olddrava.com/
128,"RAPTOR LIFE - Connecting and Restoring habitats for Hen Harrier, Merlin, Atlantic Salmon and Brook Lamprey in Duhallow, Ireland",LIFE,National,Ongoing,2015,2019,Ireland,Unknown,IRD Duhallow Limited,IRD Duhallow Limited,"3,075,846","1,537,923","1,537,923",1Unknown,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=4914,https://duhallowlife.com/raptor-life
129,"LIFE RES MARIS - Recovering Endangered habitatS in the Capo Carbonara MARIne area, Sardinia.",LIFE,National,Completed,2014,2018,Italy,Unknown,Citt Metropolitana di Cagliari,"Province of Cagliari (Sardinia);  UNICA-CCB(Università degli Studi di Cagliari, Dipartimento di Scienze della Vita e dell'Ambiente, Sezione Botanica, Centro Conservazione Biodiversità), Italy; AMPCC(Area Marina Protetta Capo Carbonara - Comune di Villasimius), Italy; TECLA(TECLA - Associazione per la Cooperazione transregionale, locale ed europea), Italy","1,510,805","1,121,479","389,326",Marine Neritic; Marine Coastal/Supratidal,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5078,http://www.resmaris.eu/
130,Loutre BeLu 2005-2006 - Restoration of European otter habitats,LIFE,National,Completed,2010,2011,Belgium; Luxembourg,Unknown,Commission de gestion du Parc Naturel de la Haute-Sûre et de la Forêt d'Anlier,Commission de gestion du Parc Naturel de la Haute-Sûre et de la Forêt d'Anlier,"3,891,664","1,945,831","1,945,833",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=2919#AD,No data available
131,MoorLIFE: Active blanket bog restoration in the South Pennine Moors,LIFE; Environment Agency; Natural England; United Utilities; Yorkshire Water; National Trust; Peak District National Park Authority,National,Completed,2010,2015,United Kingdom,Unknown,The Peak District National Park Authority,The Peak District National Park Authority,"6,690,856","5,007,856","1,683,000",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3539,https://www.moorsforthefuture.org.uk/our-work/our-projects/moorlife
132,ISAC 08 - Irfon Special Area of Conservation Project,LIFE; Natural Resources Wales,National,Completed,2010,2013,United Kingdom,Unknown,Wye and Usk Foundation,Association of Rivers Trust; Wye and Usk Foundation,"1,626,458","1,626,458",0,Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3538,https://www.wyeuskfoundation.org/isac
133,Conservation of root vole *Microtus oeconomus mehelyi,LIFE,Multinational,Completed,2010,2016,Austria; Hungary; Slovakia ,Unknown,Regional Association for Nature Conservation and Sustainable Development,"Regional Association for Nature Conservation and Sustainable Development (BROZ), Water Research Institute (VUVH), The Faculty of Natural Sciences of the Comenius-University in Bratislava (PriF UK), Society for the Study and Conservation of Mammals in the Netherlands (VVZ), and Pisztráng kör (Trout Circle Association).","3,626,018","2,719,513","906,505",No data available,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3558,no data available
134,Vindel River LIFE - Restoration of tributaries of the Vindel river combined with monitoring and evaluation of ecological responses of species and habitats,LIFE,National,Completed,2010,2015,Sweden,Unknown,Umea University,The Vindel River Fishery Advisory Board,"2,675,513","1,337,757","1,337,756",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3567,http://vindelriverlife.se/
135,SFC Calimani-Gurghiu - Securing favorable conservation status for priority habitats,"LIFE; Ministry of Environment, Romania",National,Completed,2010,2013,Romania,Unknown,Mures Environmental Protection Agency,Mures Environmental Protection Agency,"941,620","891,620","50,000",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3546,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=home.showFile&rep=file&fil=LIFE08_NAT_RO_000502_LAYMAN.pdf
136,XericGrasslandsPL - Conservation and restoration of xerothermic grasslands in Poland - theory and practice ,LIFE,National,Completed,2010,2013,Poland,Unknown,Klub Przyrodnikw,Klub Przyrodnikw,"1,284,314","642,157","642,157",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3545,http://www.murawy-life.kp.org.pl/
137,LIFEAQUILA - Restoring populations of Lesser Spotted Eagle at chosen areas of Natura 2000,"LIFE; National Fund for Environmental Protection and Water Management, Warsaw",National,Completed,2010,2014,Poland,Unknown,Regional Directorate of State Forests in Bialystok,Regional Directorate of State Forests in Bialystok,"4,092,572","3,069,429","1,023,143",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3547,http://www.orlikkrzykliwy.pl/
138,Habitat Lince Abutre - Enhancing Habitat for the Iberian Lynx and Black Vulture in the Southeast of Portugal,LIFE; Flora and Fauna International; ICNF,National,Completed,2010,2014,Portugal,Unknown,League for Nature Protection Portugal,"League for Nature Protection Portugal; Centro de Estudos da Avifauna Ibérica (CEAI), Portugal","2,640,556","1,980,417",660139,No data available,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3569,http://www.habitatlinceabutre.lpn.pt/
139,The Dutch Crane Resort - Improvement of hydrological conditions in peat bog area Fochteloërveen,LIFE,National,Completed,2010,2015,Netherlands,Unknown,Vereniging Natuurmonumenten,Vereniging Natuurmonumenten,"2,904,708","1,010,894",1893814,Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3563,https://www.natuurmonumenten.nl/natuurgebieden/fochteloerveen
140,"Healthy Heath - Propagation and development of dry, moist and wet heath in the Dwingelderveld SPA and pSCI",LIFE,National,Completed,2010,2016,Netherlands,Unknown,Provincie Drenthe, The Province of Drenthe;  Staatsbosbeheer Natuurmonumenten,"7,885,287","3,942,643",3942644,Shrubland; Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3562,https://www.nationaalpark-dwingelderveld.nl/
141,Restoration of Raised Bog Habitats in the Especially Protected Nature Areas of Latvia,Latvian Fund for Nature; ELM MEDIA Foundation; LIFE,National,Completed,2010,2013,Latvia,Unknown,University of Latvia,University of Latvia,"726,714","545,035",181679,Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3542,http://www.purvi.lv/
142,RESILFOR - Restoration of beech and silver fir forests in the Toscan Marches Appennines ,LIFE,National,Completed,2010,2014,Italy,Unknown,Unione dei Comuni Amiata Val d'Orcia,Not clear from information available,"1,300,000","636,100",663900,Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3572,http://www.liferesilfor.eu/
143,MONTI DELLA TOLFA - Urgent long term nature conservation actions for the SPA and the pSCIs of the Monti della Tolfa area.,LIFE,National,Completed,2010,2015,Italy,Unknown,Municipality of Manziana,Not clear from information available,"3,929,727.00","1,789,243.00",2140484,Forest; Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3589,http://www.lifemontidellatolfa.it/
144, Restoration and conservation of priority-listed Pannonic sand land habitats in military owned area of the Hungarian Little Plain,LIFE; Ministry of Agriculture,National,Completed,2010,2015,Hungary,Unknown,Defence Economic Office of the Hungarian Ministry of Defence,Budapest Forestry Zrt. and Fert?-Hanság National Park Directorate,"1,764,300.00","1,764,300.00",0,Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3532,http://www.kisalfoldilife.hu/
145,FRAMME - Fire Restoration Methodology for Mediterranean Forests -environmental safety & sustainability of 4 interventions in the Rhodes NATURA 2000 site,LIFE,National,Completed,2010,2013,Greece,Unknown,Hellenic Society for the Protection of the Environment and Cultural Heritage,"Hellenic Society for the Protection of the Environment and Cultural Heritage;  Agricultural University of Athens, Greece; Municipality of Rhodes, Greece","1,544,355","741,908",238318,Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3527,http://www.ellet.gr/framme/
146,"Restoring the Natura 2000 network of Boreal Peatland Ecosystems ""Boreal Peatland Life""",LIFE,National,Completed,2010,2014,Finland,Unknown,"Metshallitus, Natural Heritage Services","Metshallitus, Natural Heritage Services","6,726,614.00","3,363,307.00","3,363,307.00",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3557,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=home.showFile&rep=file&fil=LIFE08_NAT_FIN_000596_LAYMAN.pdf
147,Restoration of the dynamics of Rhine alluvial habitats on Rohrschollen island,LIFE; Rhine-Meuse Water Agency; The Bas-Rhin Department; The Alsace DREAL; Electricité de France; The Alsace Region,National,Completed,2010,2015,France,Unknown,Ville de Strasbourg,Ville de Strasbourg,"2,080,000.00",See comments,0,Wetlands (inland); Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3543,http://www.rn-rohrschollen.strasbourg.eu/index.php?page=accueil&hl=fr_FR
148,DRAGONLIFE - Securing Leucorrhinia pectoralis and Pelobates fuscus in the northern distribution area in Estonia and Denmark,LIFE,Multinational,Completed,2010,2015,Estonia; Denmark,Unknown, Environmental Board,Estonian Environmental Board,"1,050,430.00","525,215.00","525,215.00",No data available,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3561,https://life.envir.ee/project
149,PROYECTO ESTANY - Improvement of the Natura 2000 habitats and species found in Banyoles: a demonstration project.,LIFE; Department of Environment and Housing of the Generalitat de Catalunya;  Diputación de Girona ; Catalan Water Agency (ACA); Aguas de Banyoles,National,Completed,2010,2013,Spain,Unknown,Consorci de l'Estany,Consorci de l'Estany,"1,020,352","1,020,352",0,Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3579,http://www.consorcidelestany.org/index.php?life_2010_13-1
150,Riparia-Ter - Recovery of riparian habitats of the Ter river,LIFE,National,Completed,2010,2013,Spain,Unknown,Alba-Ter Consortium,Alba-Ter Consortium,"929,100","464,550","464,550",Forest; Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3576,http://www.liferipariater.com/
151,"CUBOMED - Development and demonstration of eradication and control methods for an invasive species: Carybdea marsupialis (Cubozoa), Mediterranean",LIFE; Generalitat Valenciana; Ministerio para la transicion ecologica,National,Completed,2010,2016,Spain,Unknown,University of Alicante,"Instituto de Ciencias del Mar de Barcelona, Spain",1683195,See comments,No data available,Marine Oceanic,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3530,http://www.cubomed.eu/en/
152,Estuarios del Pais Vasco - Restoration of habitats of Community interest in the Basque Country's estuaries,LIFE,National,Completed,2010,2013,Spain,Unknown,Departamento de Medio Ambiente y Política Territorial del Gobierno Vasco,Departamento de Medio Ambiente y Política Territorial del Gobierno Vasco,"1,852,825","926,412","926,413",Marine Intertidal,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3578,http://www.euskadi.eus/web01-a2ingdib/es/
153,Restoration of raised bog Holmegaards Mose,LIFE,National,Completed,2010,2013,Denmark,Unknown,Danish Nature Agency,Danish Nature Agency,"891,706","445,853","445,853",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3553,no data available
154,Dry Grassland in Denmark - Restoration and Conservation,LIFE,National,Completed,2010,2013,Denmark,Unknown,Danish Nature Agency,Danish Nature Agency,"2,162,094","1,081,047","1,081,047",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3551,no data available
155,Improvement and Long-Term Safeguarding of the Natura 2000 Site Dessau-Wörlitz Elbe Floodplain ,LIFE,National,Completed,2010,2018,Germany,Unknown,WWF Deutschland,"WWF Deutschland; Landesbetrieb für Hochwasserschutz und Wasserwirtschaft Sachsen-Anhalt (LHW), Germany","2,184,912","1,092,456","1,092,456",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3519,https://www.wwf.de/themen-projekte/projektregionen/elbe/elbauen-vockerode/
156,Development of humid and moist forests in the Soonwald,LIFE ,National,Completed,2010,2014,Germany,Unknown,Stiftung Natur und Umwelt Rheinland-Pfalz,Forstamt Soonwald,"1,751,852","875,926","875,926",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3518,no data available
157,"Life+ Möhneaue - Restoration and improvement of the SCI ""Möhne Oberlauf"" and the SCI ""Möhne Mittellauf""",LIFE ,National,Completed,2010,2016,Germany,Unknown,District of Soest,Not clear from information available,"2,896,347","1,448,174","1,448,173",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3517,https://www.kreis-soest.de/start/
158,Ems-Dynamik+Habitate - Near-natural river and flood plain development of the River Ems at Einen,LIFE,National,Completed,2010,2014,Germany,Unknown,Bezirksregierung Münster,Bezirksregierung Münster,"2,843,346","1,421,673","1,421,673",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3516,http://www.ems-life-nrw.de/startseite.html
159,LIFE-AMPHIKULT - Management and Connectivity of Amphibians in the Cultural Landscape of Lower Saxony,LIFE,National,Completed,2010,2015,Germany,Unknown,NABU Niedersachsen,NABU Niedersachsen,"1,068,101","534,050","534,051",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3526,http://www.life-amphikult.de/index.php/en/
160,"Kalkmoore Brandenburgs - Preservation and restoration of base-rich to alkaline fens (brown moss fens, NATURA 2000 habitat type 7230) in Brandenburg",LIFE,National,Completed,2010,2015,Germany,Unknown,NaturSchutzFonds Brandenburg,NaturSchutzFonds Brandenburg,"6,399,880","3,199,940","3,199,940",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3524,http://www.kalkmoore.de/
161,Riparian Habitats in BG - Conservation and Restoration of 11 Natura 2000 Riparian and Wetland Habitats in 10 SCI's Bulgarian Forests,LIFE,National,Completed,2010,2014,Bulgaria,Unknown,Executive Forestry Agency,"10 Nature Park Directorates: Bulgarka, Vitosha, Vrachanski Balkan, Zlatni Pyasatsi, Persina, Rilski Manastir, Rusenski Lom, Sinite Kamani, Strandhza, Shumensko Plato","1,236,834","615,199","621,635",Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3535,http://www.wwf.bg/what_we_do/protected_areas/10parks/
162,VULTURES' RETURN - Recovery of the Populations of Large European Vultures In Bulgaria,LIFE;  Frankfurt Zoological Society (FZS); Deutsche Bundesstiftung Umwelt (DBU) ,National,Completed,2010,2015,Bulgaria,Unknown,Green Balkans Stara Zagora Non-Profit Organisation,Green Balkans Stara Zagora Non-Profit Organisation,"1,332,328","1,332,328",0,Forest,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3534,https://www.greenbalkans.org/birdsofprey/life/
163,Triple E Pond area M-L - Ecological restoration of the Pond area M-L through a close participation of the private and public landowners and a tripple E-approach,LIFE,National,Completed,2010,2014,Belgium,Unknown,European Landowners Organisation,"European Landowners Organisation;  vzw Ontwikkeling Vijvergebied Midden-Limburg (OVML), Belgium; vzw Regionaal Landschap Lage Kempen (RLLK), Belgium; vzw Limburgs Landschap (Lila), Belgium; Municipality of Hasselt (HAS), Belgium; Municipality of Zonhoven (ZON), Belgium; Agentschap voor Natuur en Bos (ANB), Belgium","2,696,042","1,348,021","1,348,021",Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3529,http://www.3water.eu/site/
164,Life Abeek - Habitat restoration in the Abeekvalley ,LIFE,National,Completed,2010,2015,Belgium,Unknown,Natuurpunt Beheer vzw,Natuurpunt Beheer vzw,"3,561,140","1,780,570","1,780,570",Forest; Wetlands (inland),http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3592,no data available
165,Life Visbeek - Habitat restoration in the Visbeekvalley,LIFE,National,Completed,2010,2015,Belgium,Unknown,Natuurpunt Beheer vzw,Natuurpunt Beheer vzw,"4,243,249","2,121,624","2,121,625",Grassland,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=3598,https://www.natuurpunt.be/pagina/inleiding-life-visbeek
